date	临潼区	兴庆小区	小寨	市人民体育场	广运潭	曲江文化产业集团	纺织城	经开区	草滩	长安区	阎良区	高压开关厂	
20150513	71.00	125.33	111.00	124.00	64.00	110.00	104.00	91.00	102.67	70.67	110.00	111.33	
20150512	81.36	74.00	75.18	74.82	46.36	74.00	79.00	81.73	91.64	69.45	72.00	81.45	
20150511	64.08	59.58	60.67	55.92	34.58	61.50	55.08	49.83	59.33	46.42	43.08	60.67	
20150510	87.17	70.92	73.17	87.08	56.75	77.83	65.67	70.25	72.00	81.67	60.67	72.00	
20150509	73.08	76.42	72.29	75.75	54.92	75.33	71.42	64.50	64.58	83.00	64.42	69.33	
20150508	65.25	64.50	67.18	71.75	43.25	66.67	62.67	71.00	74.17	74.08	56.50	69.50	
20150507	94.08	90.92	94.33	101.33	69.42	100.17	89.17	85.42	99.17	89.08	74.33	91.67	
20150506	65.75	78.42	65.75	63.17	52.00	72.17	79.00	61.42	84.50	61.83	47.75	73.58	
20150505	69.50	64.50	82.00	82.50	48.50	93.00	69.00	77.00	92.50	95.00	46.00	91.00	
20150504	80.00	56.88	59.00	56.00	37.29	55.88	58.00	70.62	104.75	52.12	71.62	62.88	
20150503	�	63.73	61.18	63.55	48.27	62.45	63.73	57.27	73.73	50.18	65.73	65.73	
20150502	59.83	65.58	63.00	65.25	46.08	74.58	58.58	60.00	67.08	50.33	56.58	63.25	
20150501	168.00	98.25	85.33	78.25	39.75	104.17	78.42	65.25	69.08	69.42	65.17	92.58	
20150430	104.67	97.33	90.17	102.00	79.25	104.58	88.42	83.75	89.58	99.42	74.25	91.25	
20150429	92.83	91.58	88.33	98.08	89.09	92.42	90.00	86.42	99.25	94.17	81.42	94.64	
20150428	55.00	97.00	87.00	72.00	84.00	93.00	85.00	81.00	84.00	74.00	87.00	78.00	
20150427	66.00	71.92	75.25	69.17	66.22	66.42	61.92	65.75	�	57.50	65.50	71.08	
20150426	95.25	108.92	78.75	90.58	70.42	92.50	83.25	87.67	97.00	70.58	76.83	97.50	
20150425	94.92	89.00	82.08	90.33	82.17	84.58	88.58	98.17	107.17	71.17	104.75	95.50	
20150424	75.58	69.83	71.75	73.92	52.17	78.83	74.17	90.00	143.08	61.50	75.00	78.58	
20150423	82.17	67.00	80.00	82.00	56.08	72.75	68.67	86.00	108.00	64.00	72.55	79.08	
20150422	61.67	63.57	61.50	63.50	38.00	65.33	64.08	62.42	69.33	57.75	57.17	68.58	
20150421	30.83	32.42	29.25	40.17	29.83	34.17	31.25	34.08	44.50	33.17	27.00	33.25	
